Main Topic,Keyword,Related score,Competition,Overall,Search volume,30d ago searches,Timestamp,Number of words,KW Type,Content Pillar
productivity,alex hormozi,1.8,58.0,76.01675209223373,4088093.0,4369711.0,1771835931.0,2,multiple words,Personal Growth
stoicism,motivation,2.6058823529411765,59.9,74.72659653244793,3567214.0,3681009.0,1771835931.0,1,single word,Fundamental Knowledge
nihilism,diary of a ceo,1.4,60.0,73.363003371292,2538345.0,2573856.0,1771922253.0,4,multiple words,Personal Growth
productivity,ali abdaal,1.8,56.5,73.62075040753614,1892425.0,2128811.0,1771835931.0,2,multiple words,Personal Growth
nihilism,psychology,5.25,56.9,72.70128490340696,1556771.0,1280939.0,1771922253.0,1,single word,Fundamental Knowledge
mental models,focus,1.25,61.6,70.77201847062071,1537178.0,1599289.0,1771835931.0,1,single word,Personal Growth
mental models,game theory,1.2,71.5,66.6219074258338,1463856.0,1474033.0,1771835931.0,2,multiple words,Fundamental Knowledge
personal growth,motivational video,6.9,59.0,71.40774379986236,1385438.0,1565139.0,1771835931.0,2,multiple words,Personal Growth
mental models,motivational speech,1.2,56.4,71.93089841305054,1213058.0,1296301.0,1771835931.0,2,multiple words,Personal Growth
philosophy,jordan peterson,1.2,56.5,71.50257987503353,1097807.0,1515044.0,1771835931.0,2,multiple words,Fundamental Knowledge
mental models,chris williamson,1.2,59.0,70.19011121610059,1013069.0,1338139.0,1771835931.0,2,multiple words,Personal Growth
productivity,ted talk,2.4,51.0,73.19426443714354,963325.0,1054582.0,1771835931.0,2,sentence,Personal Growth
finding purpose,carl jung,1.2,54.4,71.53545677676865,892095.0,1221018.0,1771922253.0,2,multiple words,Fundamental Knowledge
philosophy,ted ed,2.4,59.0,69.64576908975302,880772.0,855783.0,1771835931.0,2,multiple words,Fundamental Knowledge
procrastination,adhd,2.5,59.0,69.4974216631807,847814.0,847106.0,1771835931.0,1,single word,Emotional Pain
productivity,hormozi,1.5,57.0,70.2540161292076,838406.0,893095.0,1771835931.0,1,single word,Personal Growth
finding purpose,andrew huberman,3.6,65.0,67.05029809647681,837605.0,854212.0,1771922253.0,2,multiple words,Personal Growth
nihilism,stoicism,3.5,50.0,72.75064804043248,775503.0,1095191.0,1771922253.0,1,single word,Fundamental Knowledge
anxiety,yoga with adriene,2.8,57.0,69.87318453628244,760212.0,829459.0,1771835931.0,3,multiple words,Personal Growth
procrastination,dopamine,2.0,59.5,68.74267642678257,735129.0,341283.0,1771835931.0,1,single word,Emotional Pain
meaning of life,philosophy,6.75,61.5,67.70513725110372,691580.0,787524.0,1771922253.0,1,single word,Fundamental Knowledge
personal growth,the diary of a ceo,1.4,59.0,68.66944392437158,685263.0,644608.0,1771835931.0,5,multiple words,Personal Growth
personal growth,jim rohn,4.5,50.7,71.9557625636399,679355.0,716943.0,1771835931.0,2,multiple words,Personal Growth
meaning of life,alan watts,2.7,64.1,66.32237454934813,633247.0,931133.0,1771922253.0,2,multiple words,Purpose and Identity
procrastination,self improvement,1.5,53.5,70.4592357981152,616677.0,743174.0,1771835931.0,2,multiple words,Personal Growth
mental models,warren buffett,2.4,60.3,67.47638337759831,576382.0,946534.0,1771835931.0,2,multiple words,Personal Growth
personal growth,brian tracy,3.6,45.4,73.24207404366902,548297.0,605389.0,1771835931.0,2,multiple words,Personal Growth
anxiety,jay shetty,1.2,65.0,65.39425532867665,547196.0,548924.0,1771835931.0,2,multiple words,Personal Growth
stoicism,discipline,15.0,54.8,69.42963556113776,540955.0,727281.0,1771835931.0,1,single word,Fundamental Knowledge
procrastination,mel robbins,1.2,71.0,62.59532885501599,493859.0,630328.0,1771835931.0,2,multiple words,Personal Growth
procrastination,anxiety,2.25,57.0,68.03782201461729,474261.0,495888.0,1771835931.0,1,single word,Emotional Pain
meaning of life,freedom,1.5,56.5,68.06865912751077,454078.0,529773.0,1771922253.0,1,single word,Purpose and Identity
productivity,mark manson,1.2,60.0,66.35789414419651,419212.0,515896.0,1771835931.0,2,multiple words,Personal Growth
procrastination,healthygamergg,3.25,59.0,66.64543908871401,407266.0,302245.0,1771835931.0,1,single word,Emotional Pain
mental models,naval ravikant,1.2,59.0,66.61418713313519,404007.0,485474.0,1771835931.0,2,multiple words,Personal Growth
schopenhauer,self control,1.2,50.3,69.75001469401172,369796.0,391524.0,1771835931.0,2,sentence,Fundamental Knowledge
stoicism,confidence,2.0,53.5,68.3897437812088,362243.0,313187.0,1771835931.0,1,single word,Fundamental Knowledge
stoicism,manifestation,7.0,47.0,70.96456753723726,359906.0,396153.0,1771835931.0,1,single word,Fundamental Knowledge
mental models,modern wisdom,2.4,61.0,65.35445990453688,358972.0,424072.0,1771835931.0,2,multiple words,Personal Growth
philosophy,daily dose,1.2,55.7,67.40154838105846,352306.0,292849.0,1771835931.0,2,multiple words,Fundamental Knowledge
philosophy,stoic,3.5,67.0,62.83774602638898,348361.0,305520.0,1771835931.0,1,single word,Fundamental Knowledge
habits,can't help falling in love,1.4,58.5,66.20139886483136,345121.0,477967.0,1771835931.0,5,sentence,Personal Growth
productivity,ted talks,3.6,53.0,68.35026660120008,340614.0,279182.0,1771835931.0,2,multiple words,Personal Growth
nihilism,pursuit of wonder,1.4,57.5,66.53344291309057,339144.0,303107.0,1771922253.0,3,multiple words,Fundamental Knowledge
nihilism,universe,3.0,67.0,62.73024161369107,338865.0,414005.0,1771922253.0,1,single word,Fundamental Knowledge
mental models,charlie munger,7.2,72.8,60.3207755551788,331160.0,463948.0,1771835931.0,2,multiple words,Personal Growth
habits,rock music,1.2,39.8,73.474932023168,327280.0,340725.0,1771835931.0,2,multiple words,Personal Growth
procrastination,how to study,1.4,46.2,70.87799615717297,324187.0,305084.0,1771835931.0,3,sentence,Personal Growth
meaning of life,the school of life,1.4,61.0,64.89787672324418,319215.0,374248.0,1771922253.0,4,multiple words,Fundamental Knowledge
personal growth,denzel washington,2.7,56.5,66.64820960467405,315165.0,435820.0,1771835931.0,2,multiple words,Personal Growth
